epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,1430.2,0.62289,1.05902,0.47615,1.00381,0.88464,0.79837,0.84276,0.68847,0.87882,0.7923,0.84884,0.66935,0.62044,1.09106,0.47904,0.87095,0.0004358,0.0004358,0.0004358
81,1447.87,0.63229,1.08302,0.48478,0.99651,0.85466,0.79434,0.83808,0.6883,0.85884,0.79766,0.84448,0.66649,0.62137,1.08364,0.48491,0.8691,0.000416,0.000416,0.000416
82,1465.39,0.61195,1.02694,0.46233,0.98595,0.87224,0.78103,0.84038,0.69043,0.87026,0.77763,0.83887,0.66504,0.60689,1.07513,0.47759,0.85953,0.0003962,0.0003962,0.0003962
83,1482.78,0.61032,1.04797,0.45986,0.99386,0.8851,0.78406,0.8411,0.69433,0.89314,0.77506,0.8428,0.66184,0.602,1.09104,0.4797,0.85714,0.0003764,0.0003764,0.0003764
84,1500.53,0.61251,1.02375,0.44964,0.99306,0.87427,0.79547,0.84201,0.69276,0.86204,0.79692,0.84581,0.66636,0.59833,1.07421,0.47643,0.85708,0.0003566,0.0003566,0.0003566
85,1517.24,0.59706,1.04176,0.45176,0.98736,0.85581,0.79177,0.83827,0.68864,0.85119,0.79563,0.84216,0.66382,0.59753,1.0548,0.48911,0.85534,0.0003368,0.0003368,0.0003368
86,1534.79,0.61546,1.05477,0.46158,0.99599,0.88476,0.77963,0.84109,0.69538,0.88762,0.78175,0.84016,0.6676,0.59212,1.06086,0.48134,0.84725,0.000317,0.000317,0.000317
87,1552.36,0.61113,1.04674,0.47098,0.99512,0.85626,0.78865,0.83969,0.6919,0.86463,0.79637,0.83996,0.67211,0.58947,1.06776,0.48089,0.85429,0.0002972,0.0002972,0.0002972
88,1570.09,0.60218,0.99243,0.45301,0.98429,0.85657,0.79066,0.84122,0.69233,0.86168,0.79692,0.84397,0.66675,0.60441,1.09051,0.48048,0.85737,0.0002774,0.0002774,0.0002774
89,1587.68,0.59364,1.02457,0.45565,0.98302,0.8767,0.7951,0.84254,0.69265,0.87911,0.79447,0.84271,0.66546,0.58476,1.08069,0.46731,0.84727,0.0002576,0.0002576,0.0002576
90,1605.5,0.61245,1.02736,0.46461,0.994,0.87252,0.79174,0.84241,0.69735,0.8711,0.79045,0.84141,0.66956,0.58788,1.08935,0.46304,0.84814,0.0002378,0.0002378,0.0002378
91,1623.74,0.57327,1.02369,0.45459,0.98598,0.87902,0.78792,0.84417,0.70172,0.87447,0.78795,0.84487,0.6716,0.57605,1.0853,0.4556,0.8301,0.000218,0.000218,0.000218
92,1641.8,0.56317,0.99905,0.4341,0.98385,0.87606,0.79041,0.84579,0.70205,0.87059,0.78663,0.84182,0.67413,0.57743,1.0765,0.45831,0.83389,0.0001982,0.0001982,0.0001982
93,1659.65,0.55641,0.99077,0.43003,0.97777,0.87825,0.78406,0.84315,0.70074,0.87936,0.78535,0.84456,0.66924,0.57316,1.07408,0.46945,0.83227,0.0001784,0.0001784,0.0001784
94,1676.91,0.54983,0.98249,0.42068,0.97819,0.87865,0.7892,0.84304,0.6949,0.87703,0.78792,0.84229,0.66894,0.58498,1.07069,0.46695,0.84249,0.0001586,0.0001586,0.0001586
95,1694.3,0.55364,0.99704,0.4237,0.97414,0.87532,0.79411,0.84321,0.69605,0.87416,0.79465,0.84307,0.66978,0.56983,1.05676,0.4578,0.8395,0.0001388,0.0001388,0.0001388
96,1711.81,0.54634,0.98074,0.41775,0.97294,0.88604,0.78948,0.84538,0.7047,0.88315,0.78691,0.84603,0.6745,0.56984,1.05813,0.45899,0.83302,0.000119,0.000119,0.000119
97,1729.83,0.54477,0.98162,0.41003,0.97616,0.8868,0.79177,0.84615,0.70606,0.88457,0.7892,0.84396,0.67427,0.577,1.06567,0.46241,0.83854,9.92e-05,9.92e-05,9.92e-05
98,1747.63,0.54823,0.98176,0.41061,0.97129,0.87933,0.78406,0.84404,0.70369,0.8756,0.78663,0.84321,0.67537,0.58181,1.06144,0.46956,0.84203,7.94e-05,7.94e-05,7.94e-05
99,1765.34,0.53389,0.93156,0.40405,0.96852,0.88629,0.79146,0.84715,0.70564,0.88049,0.78598,0.84373,0.67257,0.56665,1.0766,0.45784,0.83284,5.96e-05,5.96e-05,5.96e-05
100,1782.93,0.53703,0.98173,0.40428,0.96588,0.88775,0.78792,0.84669,0.70336,0.88379,0.78406,0.84603,0.67225,0.56345,1.07475,0.45589,0.83017,3.98e-05,3.98e-05,3.98e-05
